用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
社債権者,しゃさいけんしゃ,,bondholder,,,,,,
社債権者集会,しゃさいけんしゃしゅうかい,,bondholders meeting,,,,,,
社債権者集会参考書類,しゃさいけんしゃしゅうかいさんこうしょるい,,reference documents for bondholders meeting,,,,,,
社債原簿,しゃさいげんぼ,,bond register,,,,,,
社債原簿管理人,しゃさいげんぼかんりにん,,bond register administrator,,,,,,
社債発行会社,しゃさいはっこうがいしゃ,,bond-issuing company,,,,,,
社債発行費,しゃさいはっこうひ,,(corporate) bond issuance expenses,会計勘定科目,,,,,
写真の著作物,しゃしんのちょさくぶつ,,photographic work(s),,,,,"【注】通例""works""（複数形）",
社団,しゃだん,,association,,,,,,
社団法人,しゃだんほうじん,,incorporated association,,,,,,
車両,しゃりょう,,vehicle,,,,,,
受遺者,じゅいしゃ,,(testamentary) donee,,,,,,
収益,しゅうえき,1,profit,収められた利益,,,,,
収益,しゅうえき,2,profit-making,利益を収めること,,,,,
収益,しゅうえき,3,gain,利益が不法な場合,,,,,
収益,しゅうえき,4,revenue,会計勘定科目,,,,,
収益事業,しゅうえきじぎょう,,profit-making business,,公益事業又は収益事業に関する会計,The account of public benefit enterprise or profit-making enterprise,更生保護事業法6条,,
集会,しゅうかい,1,meeting,,,,,,
集会,しゅうかい,2,assembly,,,,,,
重加算税,じゅうかさんぜい,,additional penalty tax,,,,,,
終期,しゅうき,,time of expiration,,,,,,
収去,しゅうきょ,,removal,,,,,,
住居,じゅうきょ,,residence,,,,,,
就業規則,しゅうぎょうきそく,,rules of employment,,,,,,
従業者,じゅうぎょうしゃ,1,employee,原則,,,,【注】労働法関係以外の分野で用いられる場合、多様な意味で用いられる用語であるので、文脈に応じて適切な訳語を選択する必要がある。,
従業者,じゅうぎょうしゃ,2,worker,「使用人」employeeとの区別が必要な場合,,,,,
就業場所,しゅうぎょうばしょ,,workplace,,,,,,
宗教法人,しゅうきょうほうじん,,religious corporation,,,,,,
終局判決,しゅうきょくはんけつ,,final judgment,,,,,,
終結,しゅうけつ,,conclusion,,,,,,
重婚,じゅうこん,,bigamy,配偶者が2人の場合。なお、3人以上の場合はpolygamy,,,,,
収支計算書,しゅうしけいさんしょ,,income and expenditure statement,,,,,,
収受する,しゅうじゅする,1,accept,,,,,,
収受する,しゅうじゅする,2,receive,,,,,,
住所,じゅうしょ,1,address,,,,,,
住所,じゅうしょ,2,domicile,,,,,,
就職する,しゅうしょくする,,find employment,,,,,,
住所地法,じゅうしょちほう,,law of domicile,,住所地法によるべき場合は、この限りでない,this does not apply where the law of domicile controls,民法23条2項,,
住所又は居所,じゅうしょまたはきょしょ,,domicile or residence,,,,,,
終身定期金,しゅうしんていききん,,periodic payments for life,,,,,,
修正申告,しゅうせいしんこく,,amended return,,,,,,
重大な,じゅうだいな,1,serious,原則,重大な事故,serious accident,,,
重大な,じゅうだいな,2,gross,過失の場合,重大な過失,gross negligence,,,
重大な,じゅうだいな,3,material,質的に重要または法的内容・結果に影響をもたらすような事象の場合（「重要な」とほぼ同じ意味で使用する場合）,重大な変更,material alternation,,,
重大な,じゅうだいな,3,material,質的に重要または法的内容・結果に影響をもたらすような事象の場合（「重要な」とほぼ同じ意味で使用する場合）,重大な事由,material ground,,,
重大な,じゅうだいな,4,grave,,,,,,
重大な,じゅうだいな,5,major,,,,,,
重大な過失,じゅうだいなかしつ,,gross negligence,,ただし、表意者に重大な過失があったときは、表意者は、自らその無効を主張することができない,"provided, however, that the person who made the manifestation of intention may not personally assert such nullity if the person making the manifestation was grossly negligent",民法95条,,
従たる,じゅうたる,,secondary,,,,,,
集団強姦,しゅうだんごうかん,,gang rape,,,,,,
獣畜,じゅうちく,,livestock,,,,,,
集中証拠調べ,しゅうちゅうしょうこしらべ,,intensive examination of witness and party,,,,,,
充当,じゅうとう,,appropriation,,,,,,
収入,しゅうにゅう,,income,,,,,,
就任,しゅうにん,,assumption (of office),,,,,,
従犯,じゅうはん,,accessory,,,,,,
従物,じゅうぶつ,1,accessory,動産,,,,,
従物,じゅうぶつ,2,appurtenance,不動産,,,,,
十分な理由,じゅうぶんなりゆう,1,sufficient grounds,,,,,,
十分な理由,じゅうぶんなりゆう,2,sufficient reason,,,,,,
住民,じゅうみん,1,resident,一次的な居住者,,,,,
住民,じゅうみん,2,inhabitant,長期的な定住者,,,,,
住民税,じゅうみんぜい,,inhabitants tax,,,,,,
住民票,じゅうみんひょう,,residence certificate,,,,,,
収容,しゅうよう,1,accommodation,原則,,,,,
収容,しゅうよう,2,detention,勾留の場合,,,,,
収容,しゅうよう,3,commitment,刑事施設に収容する場合,,,,,
収用,しゅうよう,,condemnation,,,,,,
重要,じゅうよう,,material (matters),,,,,,
収容施設,しゅうようしせつ,1,detention facilities,原則（刑事など強制収容の場合）,,,,,
収容施設,しゅうようしせつ,2,accommodating facilities,被災の場合など,,,,,
収容場,しゅうようじょう,,detention house,,,,,,
収容状,しゅうようじょう,,warrant of commitment,,,,,,
重要文化財,じゅうようぶんかざい,,important cultural property,,,,,,
重要無形文化財,じゅうようむけいぶんかざい,,important intangible cultural property,,,,,,
重要無形民俗文化財,じゅうようむけいみんぞくぶんかざい,,important intangible folk-cultural property,,,,,,
重要有形民俗文化財,じゅうようゆうけいみんぞくぶんかざい,,important tangible folk-cultural property,,,,,,
収容令書,しゅうようれいしょ,,written detention order,,,,,,
縦覧,じゅうらん,,public inspection,,,,,,
終了,しゅうりょう,1,termination,原則,,,,,
終了,しゅうりょう,2,end,期間等の終わり,毎事業年度終了の日から３月以内に,within three months from the end of each business year,私的独占の禁止及び公正取引の確保に関する法律9条,,
修了,しゅうりょう,,completion,,,,,,
収賄,しゅうわい,,acceptance of bribe,,,,,【注】贈賄: offer of bribe（後記「贈賄」参照）,
受益権,じゅえきけん,,beneficial interest,,,,,,
受益者,じゅえきしゃ,,beneficiary,,,,,,
受益証券,じゅえきしょうけん,,beneficiary certificates,,,,,,
主幹者,しゅかんしゃ,,chief officer,,,,,,
受寄者,じゅきしゃ,,depositary,,,,,,
受給権,じゅきゅうけん,,right to receive benefits,,,,,,
受給資格,じゅきゅうしかく,,recipient qualification,,,,,,
主刑,しゅけい,,principal punishment,,,,,,
受継,じゅけい,,succession,,,,,,
受刑者,じゅけいしゃ,,sentenced person,,,,,"【注】国連人権Ｂ規約第５回政府報告書において、prison、prisonerという表現を避け、「被収容者」inmate、「受刑者」sentenced inmate、「未決被収容者」unsentenced inmateに統一する扱いとなったが、""inmate""は単独で「受刑者」の意味を持ちうる語であるため、本辞書においては、「受刑者」については""inmate""部分に""person""を充てたsentenced personを、「未決被収容者」については""detainee""を充てたunsentenced detaineeを選定した。",
授権,じゅけん,,delegation of powers,,,,,,
主尋問,しゅじんもん,,direct examination,,,,,,
受贈者,じゅぞうしゃ,1,donee,原則,,,,,
受贈者,じゅぞうしゃ,2,recipient,「受遺者」doneeと区別する必要がある場合,,,,,
受訴裁判所,じゅそさいばんしょ,,court in charge of the case,,,,,,
主体,しゅたい,,actor,,,,,【注】主体・客体の「主体」の意味,
受託裁判官,じゅたくさいばんかん,,commissioned judge,,,,,,
受託者,じゅたくしゃ,1,trustee,,,,,,
受託者,じゅたくしゃ,2,consignee,,,,,【注】（出典）特定製品に係るフロン類の回収及び破壊の実施の確保等に関する法律19条の3第4項,
受託者,じゅたくしゃ,3,entrustee,,,,,,
主たる債務者,しゅたるさいむしゃ,1,principal debtor,金銭債務の場合,,,,,
主たる債務者,しゅたるさいむしゃ,2,principal obligor,金銭債務以外の債務一般の場合,,,,,
主たる事務所,しゅたるじむしょ,,principal office,,主たる事務所の所在地においては,at the location of its principal office,民法45条1項,,
主張,しゅちょう,1,claim,権利の主張,特許権は、民法第九百五十八条の期間内に相続人である権利を主張する者がないときは、消滅する,A patent right lapses where no person claims the right as an heir within the time limit designated in Article 958 of the Civil Code.,特許法76条,,
主張,しゅちょう,2,assertion,事実などの主張,不利益処分の原因となる事実に対する当事者等の主張,"assertion of the parties, etc. concerning the facts which will be the cause of the anticipated Adverse Disposition",行政手続法24条3項,,
主張,しゅちょう,3,allegation,事実などの主張,証拠により証明すべき事実その他の事実上及び法律上の主張,facts to be proved by evidence or any other factual or legal allegations,刑事訴訟法316条の30,,
主張,しゅちょう,4,argument,,当事者の主張,argument by a party,裁判所法10条1号,,
出願,しゅつがん,,application,,,,,,
出願公開,しゅつがんこうかい,,publication of application,,,,,,
出願公表,しゅつがんこうひょう,,publication of application,,,,,,
出願者,しゅつがんしゃ,,applicant,,,,,,
出願審査,しゅつがんしんさ,,examination of application,,,,,,
出願人,しゅつがんにん,,applicant,,,,,,
出願品種,しゅつがんひんしゅ,,applied plant variety,,,,,,
出願料,しゅつがんりょう,,application fee,,,,,,
出向,しゅっこう,,secondment,,,,,,
出資,しゅっし,,contribution,,,,,,
出資証券,しゅっししょうけん,,investment securities,,,,,,
出資の払戻し,しゅっしのはらいもどし,,return of contribution,,,,,,
出水,しゅっすい,,flood,,,,,,
出訴期間,しゅつそきかん,,statute of limitations for filing an action,,,,,,
出頭,しゅっとう,1,appearance,裁判所への出頭,,,,,
出頭,しゅっとう,2,attendance,委員会等への出頭,,,,,
出入国管理,しゅつにゅうこくかんり,,immigration control,,,,,,
出入国港,しゅつにゅうこくこう,,port of entry or departure,,,,,,
出版権,しゅっぱんけん,1,publication right,,,,,,
出版権,しゅっぱんけん,2,publishing right,,,,,,
出品,しゅっぴん,,display,,,,,,
主登記,しゅとうき,,principal registration,,,,,【注】付記登記: supplemental registration,
取得時効,しゅとくじこう,,acquisitive prescription,,,,,,
取得条項付株式,しゅとくじょうこうつきかぶしき,,share subject to call,,,,,,
取得条項付新株予約権,しゅとくじょうこうつきしんかぶよやくけん,,share option subject to call,,,,,,
取得請求権付株式,しゅとくせいきゅうけんつきかぶしき,,share with put option,,,,,,
受任者,じゅにんしゃ,1,mandatary,民法上の委任契約の場合,,,,,
受任者,じゅにんしゃ,2,delegatee,権限の委任という意味の場合,,,,,
主任審査官,しゅにんしんさかん,,supervising immigration inspector,,,,,,
主任弁護人,しゅにんべんごにん,,chief defense counsel,,,,,,
種苗,しゅびょう,,seeds and seedlings,,,,,,
種苗管理センター,しゅびょうかんりせんたー,,national center for seeds and seedlings,,,,,,
種苗業者,しゅびょうぎょうしゃ,,seed and seedling dealer,,,,,,
主物,しゅぶつ,,principal,,,,,,
主文,しゅぶん,,main text of judgment,,,,,,
主務官庁,しゅむかんちょう,,competent government agency,,法人の業務は、主務官庁の監督に属する,The business of a juridical person is subject to the supervision of the competent government agency,民法67条1項,,
主務省,しゅむしょう,,competent ministry,,,,,,
主務大臣,しゅむだいじん,,competent minister,,,,,,
受命裁判官,じゅめいさいばんかん,,authorized judge,,,,,,
受命職員,じゅめいしょくいん,,commissioned officer,,,,,,
主要株主,しゅようかぶぬし,,major shareholder,,,,,,
需要者,じゅようしゃ,1,customer,,,,,,
需要者,じゅようしゃ,2,user,,,,,,
受理,じゅり,1,acceptance,原則,,,,,
受理,じゅり,2,receipt,書面の受理,,,,,
受領,じゅりょう,,receipt,,,,,,
受領許可状,じゅりょうきょかじょう,,written permit of custody,,,,,,
受領遅滞,じゅりょうちたい,,obligee's delay in acceptance,,,,,,
受領能力,じゅりょうのうりょく,,capacity to accept/receive,,,,,,
種類株式,しゅるいかぶしき,,class share,,,,,,
種類株式発行会社,しゅるいかぶしきはっこうがいしゃ,,company with class shares,,,,,,
種類株主,しゅるいかぶぬし,,class shareholder,,,,,,
種類株主総会,しゅるいかぶぬしそうかい,,class (shareholders) meeting,,,,,"【注】文脈から明らかな場合は""shareholders""を省略可",
種類債権,しゅるいさいけん,,fungible claim,,,,,【注】（出典）民法401条見出し,
種類創立総会,しゅるいそうりつそうかい,,class (shareholders) organizational meeting,,,,,,
順位,じゅんい,1,order,原則,,,,,
順位,じゅんい,2,rank,序列,,,,,
準委任,じゅんいにん,,quasi-mandate,,,,,,
循環型社会,じゅんかんがたしゃかい,,recycling society,,,,,,
循環資源,じゅんかんしげん,,circulative resources,,,,,,
準共有,じゅんきょうゆう,,quasi-co-ownership,,,,,,
準拠法,じゅんきょほう,1,applicable law,,,,,,
準拠法,じゅんきょほう,2,governing law,,,,,,
純資産額,じゅんしさんがく,,amount of net assets,,,,,,
遵守,じゅんしゅ,1,observance,,,,,,
遵守,じゅんしゅ,2,compliance,,,,,,
遵守義務,じゅんしゅぎむ,1,observance obligation,,,,,,
遵守義務,じゅんしゅぎむ,2,compliance obligation,,,,,,
遵守事項,じゅんしゅじこう,1,rule to be observed,,,,,,
遵守事項,じゅんしゅじこう,2,condition(s),更生保護法の場合,,,,,
準消費貸借,じゅんしょうひたいしゃく,,quasi-loan (for consumption),,,,,,
準正,じゅんせい,,legitimation,,,,,【注】（出典）民法789条見出し,
準占有,じゅんせんゆう,,quasi-possession,,,,,,
準則,じゅんそく,,rules,,,,,,
純損失,じゅんそんしつ,,net loss,会計勘定科目,,,,,
準備金,じゅんびきん,1,reserve,,,,,,
準備金,じゅんびきん,2,reserve fund,,,,,,
準備書,じゅんびしょ,,preparation document,,,,,,
準備書面,じゅんびしょめん,,brief,,,,,,
準備的口頭弁論,じゅんびてきこうとうべんろん,,preliminary oral arguments,,,,,,
準備手続,じゅんびてつづき,,preparatory proceeding,,,,,,
準別除権,じゅんべつじょけん,,quasi-right of separate satisfaction,,,,,【注】別除権: right of separate satisfaction（後記「別除権」参照）,
準別除権者,じゅんべつじょけんしゃ,,holder of the quasi-right of separate satisfaction,,,,,【注】別除権者: holder of the right of separate satisfaction（後記「別除権者」参照）,
準用する,じゅんようする,,apply mutatis mutandis,,,,,"【注】法令上の見出しとして使用される場合はapplication, mutatis mutandis。「…の規定は、…について準用する」の項目参照。",
使用,しよう,1,use,原則,,,,,
使用,しよう,2,employment,雇用関係の場合,,,,,
章,しょう,,Chapter,,第１章,Chapter 1,,,
条,じょう,1,Article,,第１条,Article 1,,,
条,じょう,1,Article,,第１条の２,Article 1-2,,,
条,じょう,2,Art.,,第１条,Art. 1,,,
条,じょう,2,Art.,,第１条の２,Art. 1-2,,,
証印,しょういん,,seal of verification,,,,,,
乗員,じょういん,,crew member,,,,,,
上映,じょうえい,,screen presentation,,,,,,
承役地,しょうえきち,,servient land,,,,,,
上演,じょうえん,,stage performance,,,,,,
場屋,じょうおく,,establishment,,,,,,
照会,しょうかい,,inquiry,,,,,,
傷害,しょうがい,1,injury,原則,,,,,
傷害,しょうがい,2,bodily injury,身体を強調する場合,,,,,
障害,しょうがい,1,disability,身体の障害の場合,,,,【注】その他の訳語の場合は、文脈に応じて適宜のものを選択し得る。,
障害,しょうがい,2,impediment,不可抗力の場合,,,,,
障害基礎年金,しょうがいきそねんきん,,disability basic pension,,,,,,
障害給付,しょうがいきゅうふ,,disability benefit,,,,,,
照会事項,しょうかいじこう,,matters of inquiry,,,,,,
障害者,しょうがいしゃ,1,person with disabilities,,,,,,
障害者,しょうがいしゃ,2,disabled person,,,,,,
障害者計画,しょうがいしゃけいかく,,government program for persons with disabilities,,,,,,
照会書,しょうかいしょ,,written inquiry,,,,,,
障害手当金,しょうがいてあてきん,,disability allowance,,,,,,
障害年金,しょうがいねんきん,,disability pension,,,,,,
障害年金差額一時金,しょうがいねんきんさがくいちじきん,,disability pension balance lump sum payment,,,,,,
障害補償一時金,しょうがいほしょういちじきん,,disability compensation lump sum payment,,,,,,
障害補償給付,しょうがいほしょうきゅうふ,,disability compensation benefit,,,,,,
障害補償年金,しょうがいほしょうねんきん,,disability compensation pension,,,,,,
障害補償年金差額一時金,しょうがいほしょうねんきんさがくいちじきん,,disability compensation pension balance lump sum payment,,,,,,
障害補償年金前払一時金,しょうがいほしょうねんきんまえばらいいちじきん,,disability compensation pension advance lump sum payment,,,,,,
少額訴訟,しょうがくそしょう,1,action on small claim,,,,,,
少額訴訟,しょうがくそしょう,2,small claim action,,,,,,
償還,しょうかん,1,reimbursement,費用等の場合,連帯債務者の中に償還をする資力のない者があるときは、…,"If there is any person among the joint and several obligors who does not have the sufficient financial resources to make the reimbursement,…",民法444条,,
償還,しょうかん,2,redemption,株式・社債等の場合,募集社債の償還の方法及び期限,The method and due date for the redemption of the Bonds for subscription,会社法676条,,
召喚,しょうかん,,summons,,,,,,
商慣習,しょうかんしゅう,,commercial custom,,,,,,
召喚状,しょうかんじょう,,writ of summons,,,,,,
小規模個人再生,しょうきぼこじんさいせい,,rehabilitation for individuals with small-scale debts,,,,,,
償却,しょうきゃく,,depreciation,,,,,,
焼却,しょうきゃく,,incineration,,,,,,
消却,しょうきゃく,,cancellation,株式、新株予約権,株式会社は自己株式を消却することができる,A stock company may cancel its treasury shares,会社法178条,,
上級行政庁,じょうきゅうぎょうせいちょう,,higher administrative agency,,,,,,
上級審,じょうきゅうしん,,upper instance court,,,,,,
上級の裁判所,じょうきゅうのさいばんしょ,,upper instance court,,,,,,
商業帳簿,しょうぎょうちょうぼ,,commercial books,,,,,,
商業登記,しょうぎょうとうき,,commercial registration,,,,,,
商業登記簿,しょうぎょうとうきぼ,,commercial regiser,,,,,,
商業用レコード,しょうぎょうようれこーど,,commercial phonogram,,,,,,
常居所,じょうきょしょ,,habitual residence,,,,,,
償金,しょうきん,,compensation,,,,,,
承継,しょうけい,1,succession,原則,相続その他の一般承継,"general succession, including inheritance",会社法134条4号,,
承継,しょうけい,2,assumption,債務の承継,,,,,
承継人,しょうけいにん,,successor,,,,,,
証券,しょうけん,,securities,,,,,,
条件,じょうけん,,condition,,,,,,
証言拒絶,しょうげんきょぜつ,,refusal to testify,,,,,,
証言する,しょうげんする,,testify,,,,,,
条件附,じょうけんつき,,conditional,,,,,,
証券投資信託,しょうけんとうししんたく,,securities investment trust,,,,,,
証拠,しょうこ,,evidence,,,,,,
商号,しょうごう,,trade name,,,,,,
条項,じょうこう,1,clause,,,,,,
条項,じょうこう,2,provision,,,,,,
商行為,しょうこうい,,commercial transaction,,,,,,
商工会,しょうこうかい,,commercial and industrial association,,,,,,
商工会議所,しょうこうかいぎしょ,,chamber of commerce and industry,,,,,,
商工組合,しょうこうくみあい,,commercial and industrial partnerships,,,,,,
上告,じょうこく,,(final) appeal,,,,,,
上告裁判所,じょうこくさいばんしょ,,final appellate court,,,,,,
上告趣意書,じょうこくしゅいしょ,,(written) statement of reasons (for final appeal),,,,,,
上告受理,じょうこくじゅり,,acceptance of final appeal,,,,,,
上告受理の申立て,じょうこくじゅりのもうしたて,,petition for acceptance of final appeal,,,,,,
上告状,じょうこくじょう,,petition of final appeal,,,,,,
上告審,じょうこくしん,1,final appellate court,裁判体に重きを置く場合,,,,,
上告審,じょうこくしん,2,final appellate instance,審級を意味する場合,,,,,
上告提起,じょうこくていき,,filing of final appeal,,,,,,
上告人,じょうこくにん,,appellant (of final appeal),,,,,,
上告理由,じょうこくりゆう,,reasons for final appeal,,,,,,
上告理由書,じょうこくりゆうしょ,,(written) statement of reasons for final appeal,,,,,,
証拠収集,しょうこしゅうしゅう,,collection of evidence,,,,,,
証拠書類,しょうこしょるい,,documentary evidence,,,,,,
証拠調べ,しょうこしらべ,,examination of evidence,,,,,,
証拠説明書,しょうこせつめいしょ,,description of evidence,,,,,,
証拠の申出,しょうこのもうしで,,offer of evidence,,,,,,
証拠の類型,しょうこのるいけい,,category of evidence,,,,,,
証拠物,しょうこぶつ,,article of evidence,,,,,,
証拠保全,しょうこほぜん,,preservation of evidence,,,,,,
商事会社,しょうじかいしゃ,,commercial company,,,,,,
省資源化,しょうしげんか,,resource saving,,,,,,
常時使用する従業員,じょうじしようするじゅうぎょういん,,regularly hired employee,,,,,,
使用者,しようしゃ,1,employer,雇用の場合,常時十人以上の労働者を使用する使用者,An employer who continuously employs 10 or more workers,労働基準法89条,,
使用者,しようしゃ,2,user,雇用以外の場合,,,,,
招集,しょうしゅう,1,calling,,,,,,
招集,しょうしゅう,2,convocation,,,,,,
常習,じょうしゅう,,habit,,,,,,
招集通知,しょうしゅうつうち,1,notice of calling,,,,,,
招集通知,しょうしゅうつうち,2,convocation notice,,,,,,
譲受者,じょうじゅしゃ,1,transferee,原則,,,,,
譲受者,じょうじゅしゃ,2,assignee,財産権一般の譲受,,,,,
証書,しょうしょ,1,certificate,証明書,,,,,
証書,しょうしょ,2,instrument,契約書など法律的効果を伴う文書,,,,,
情状,じょうじょう,,circumstances,,,,,,
上場,じょうじょう,,listed,,,,,,
上場会社,じょうじょうがいしゃ,,listed company,,,,,,
上場株券,じょうじょうかぶけん,,listed share certificate,,,,,,
上申,じょうしん,1,petition,嘆願・要望等,,,,,
上申,じょうしん,2,statement,陳述等,,,,,
上訴,じょうそ,,appeal,,,,,,
上訴権回復,じょうそけんかいふく,,restoration of appeal right,,,,,,
上訴裁判所,じょうそさいばんしょ,,appellate court,,,,,,
上訴審,じょうそしん,,appellate instance,,,,,,
焼損,しょうそん,,burn,,,,,,
使用貸借,しようたいしゃく,,loan for use,,,,,,
承諾,しょうだく,1,consent,,,,,,
承諾,しょうだく,2,acceptance,,,,,,
承諾,しょうだく,3,approval,,,,,,
譲渡,じょうと,1,transfer,原則,,,,,
譲渡,じょうと,2,assignment,財産権一般の譲渡,,,,,
譲渡,じょうと,3,conveyance,不動産譲渡,,,,,
譲渡,じょうと,4,disposition,遺言による財産譲渡,,,,,
譲渡,じょうと,5,negotiation,証券の譲渡,,,,,
譲渡権,じょうとけん,,right of transfer,,,,,,
譲渡者,じょうとしゃ,1,transferor,原則,,,,,
譲渡者,じょうとしゃ,2,assignor,財産権一般の譲受,,,,,
譲渡者,じょうとしゃ,3,conveyor,不動産譲受,,,,,
譲渡所得,じょうとしょとく,,capital gain,,,,,,
譲渡制限株式,じょうとせいげんかぶしき,,share with restriction on transfer,,,,,,
譲渡制限新株予約権,じょうとせいげんしんかぶよやくけん,,share option with restriction on transfer,,,,,,
譲渡性預金,じょうとせいよきん,,negotiable certificate of deposit,,,,,,
譲渡人,じょうとにん,1,transferrer,原則,,,,,
譲渡人,じょうとにん,2,assigner,財産権一般の譲受,,,,,
譲渡人,じょうとにん,3,conveyor,不動産譲受,,,,,
譲渡人,じょうとにん,4,disposer,遺言による財産譲受,,,,,
使用人,しようにん,,employee,,,,,,
承認,しょうにん,1,approval,原則,承認の申請,application for approval,外国弁護士による法律事務の取扱いに関する特別措置法施行規則2条,,
承認,しょうにん,2,recognition,「認定」と並列的に用いる場合,,,,,
承認,しょうにん,3,acknowledgement,時効の承認,,,,,
承認,しょうにん,4,acceptance,相続や遺贈の承認の場合,,,,,
商人,しょうにん,,merchant,,,,,,
証人,しょうにん,,witness,,,,,,
承認援助手続,しょうにんえんじょてつづき,,recognition and assistance procedure,,,,,,
承認管財人,しょうにんかんざいにん,,recognition trustee,,,,,,
承認管財人代理,しょうにんかんざいにんだいり,,recognition trustee representative,,,,,,
承認取得者,しょうにんしゅとくしゃ,,approved person,,,,,,
承認申請者,しょうにんしんせいしゃ,,applicant for approval,,,,,,
承認申請書,しょうにんしんせいしょ,,written application for approval,,,,,,
証人尋問,しょうにんじんもん,,examination of a witness,,,,,,
少年,しょうねん,,juvenile,,,,,,
少年院,しょうねんいん,,juvenile training school,,,,,,
消費寄託,しょうひきたく,,deposit for consumption,,,,,,
消費者,しょうひしゃ,,consumer,,,,,,
消費者契約,しょうひしゃけいやく,,consumer contract,,,,,,
消費貸借,しょうひたいしゃく,,loan (for consumption),,,,,,
商標,しょうひょう,,trademark,,,,,,
証票,しょうひょう,,identification card,,,,,,
商標権,しょうひょうけん,,trademark right,,,,,,
商標権者,しょうひょうけんしゃ,,holder of trademark right,,,,,,
商標原簿,しょうひょうげんぼ,,trademark register,,,,,,
商標公報,しょうひょうこうほう,,trademark bulletin,,,,,,
傷病手当,しょうびょうてあて,,injury and disease allowance,,,,,,
商標登録,しょうひょうとうろく,,trademark registration,,,,,,
商標登録出願,しょうひょうとうろくしゅつがん,,application for trademark registration,,,,,,
商標登録出願人,しょうひょうとうろくしゅつがんにん,,applicant for trademark registration,,,,,,
商標登録証,しょうひょうとうろくしょう,,certificate of trademark registration,,,,,,
商標登録表示,しょうひょうとうろくひょうじ,,indication of trademark registration,,,,,,
傷病年金,しょうびょうねんきん,,injury and disease pension,,,,,,
傷病補償年金,しょうびょうほしょうねんきん,,injury and disease compensation pension,,,,,,
商品,しょうひん,1,goods,,,,,,
商品,しょうひん,2,commodity,,,,,,
商品,しょうひん,3,merchandise,会計勘定科目,,,,,
商品先物取引,しょうひんさきものとりひき,1,commodity futures,,,,,,
商品先物取引,しょうひんさきものとりひき,2,commodity futures transaction,,,,,,
商品先物取引,しょうひんさきものとりひき,3,commodity futures trading,,,,,,
商品取引所,しょうひんとりひきじょ,,commodity exchange,,,,,,
私用文書,しようぶんしょ,,document for private use,,,,,,
消防,しょうぼう,,fire fighting,,,,,,
情報公開,じょうほうこうかい,1,access to information,,,,,,
情報公開,じょうほうこうかい,2,disclosure of information,,,,,,
情報処理,じょうほうしょり,,information processing,,,,,,
情報通信,じょうほうつうしん,,information and communications,,,,,,
情報通信技術,じょうほうつうしんぎじゅつ,,information and communications technology,,,,,,
小法廷,しょうほうてい,,petty bench,,,,,,
情報の提供,じょうほうのていきょう,,provision of information,,,,,,
抄本,しょうほん,1,extract,,,,,,
抄本,しょうほん,2,(abridged) copy,,,,,,
証明,しょうめい,1,certification,公的機関による証明等,権利、義務若しくは事実証明に関する文書,"document or drawing relating to rights, duties or certification of facts",刑法159条,,
証明,しょうめい,2,proof,資料を提出して証明するような場合,犯罪の証明,proof of the offense,刑事訴訟法227条,,
証明書,しょうめいしょ,,certificate,,登録証明書,registration certificate,外国人登録法5条,,
証明予定事実,しょうめいよていじじつ,,facts to be proved,,,,,,
証明力,しょうめいりょく,1,probative value (of evidence),,,,,,
証明力,しょうめいりょく,2,evidentiary value,,,,,,
消滅,しょうめつ,1,extinction,存在や権利等の消滅一般,債権の消滅,Extinction of Claims,民法第3編第1章第5節,,
消滅,しょうめつ,2,expiration,期間満了による消滅等,法律行為に終期を付したときは、その法律行為の効力は、期限が到来した時に消滅する,"If a time of expiration of validity is assigned to a juridical act, the validity of such juridical act expires upon the arrival of such time.",民法135条2項,,
消滅,しょうめつ,3,extinguishment,債務の弁済による消滅や契約の解除・取消による消滅,当該社債管理者の債権に係る債務について社債発行会社から担保の供与又は債務の消滅に関する行為を受けること,"Accepting, with respect to an obligation relating to a claim of such bond manager, the tender of a security or an act regarding the extinguishment of the obligation from the bond-issuing Company.",会社法710条2項1号,,
消滅,しょうめつ,4,lapse,条件不成就や権利の不行使による権利・特権の消滅・失効,前項の規定による取消権は、当事者が、詐欺を発見し、若しくは強迫を免れた後三箇月を経過し、又は追認をしたときは、消滅する,"The claim for rescission of marriage pursuant to the preceding paragraph lapses upon the passage of three months after the party has discovered the fraud or escaped the duress, or upon ratification.",民法747条2項,,
消滅会社,しょうめつがいしゃ,,disappearing company,,,,,,
消滅時効,しょうめつじこう,,extinctive prescription,,,,,,
条約,じょうやく,1,convention,,,,,,
条約,じょうやく,2,treaty,,,,,,
剰余金,じょうよきん,,surplus,,,,,,
剰余金の処分,じょうよきんのしょぶん,,appropriation of surplus,,,,,,
剰余金の配当,じょうよきんのはいとう,,dividend of surplus,,,,,,
将来の給付の訴え,しょうらいのきゅうふのうったえ,,action for future performance,,,,,,
将来の請求権,しょうらいのせいきゅうけん,,claim which may arise in the future,,,,,,
上陸,じょうりく,,landing,,,,,,
上陸期間,じょうりくきかん,,period of landing,,,,,,
使用料,しようりょう,,royalty,,,,,,
省令,しょうれい,1,Ordinance of the Ministry,,法務省令,Ordinance of the Ministry of Justice,,【注】題名にかかわらず法形式が省令の場合はOrdinanceを用いる。,
